STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2040-2059,23.37,29.65,23.96,17.09,22.78,27.7,19.04,30.59,30.84,27.42,23.89,20.58,17.32,16.65,17.3,19.98,22.39,25.97,27.53
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2040-2059,20.92,24.72,22.51,16.95,19.46,23.82,17.99,24.99,25.79,24.38,23.02,20.14,17.67,16.59,16.59,18.03,18.92,21.41,23.54
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2040-2059,30.1,37.36,28.96,21.92,32.14,35.14,25.05,38.41,37.2,34.45,29.02,23.42,20.49,21.16,24.1,29.27,31.87,35.28,36.49
AMBERLEY-AMO,40004,-27.63,152.71,r1i1p1,rcp26,CESM1-CAM5,2040-2059,28.44,32.32,28.68,23.5,29.27,31.34,25.54,32.85,31.88,31.34,28.98,25.72,23.26,22.95,24.29,27.44,29.56,30.81,32.18
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,r1i1p1,rcp26,CESM1-CAM5,2040-2059,31.92,36.82,31.9,25.44,33.53,35.69,28.16,37.53,36.36,35.99,31.88,27.84,24.66,24.78,26.88,31.22,33.61,35.77,36.5
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,r1i1p1,rcp26,CESM1-CAM5,2040-2059,21.44,28.92,21.99,13.83,20.99,26.58,16.28,29.85,29.05,26.08,22.02,17.88,13.81,13.36,14.31,17.68,20.65,24.64,27.93
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,r1i1p1,rcp26,CESM1-CAM5,2040-2059,32.44,40.38,31.95,23.84,33.61,37.97,26.92,41.42,40.2,37.69,31.63,26.52,22.95,22.9,25.69,30.52,32.95,37.38,39.5
BOULIA-AIRPORT,38003,-22.91,139.9,r1i1p1,rcp26,CESM1-CAM5,2040-2059,33.78,40.06,33.36,26.16,35.54,38.42,29.14,40.62,40.29,38.55,33.22,28.3,25.04,25.52,27.92,32.7,35.37,38.56,39.32
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,r1i1p1,rcp26,CESM1-CAM5,2040-2059,29.2,37.11,29.08,20.76,29.87,34.76,23.65,38.0,36.7,34.05,29.11,24.06,20.45,19.92,21.9,26.22,29.36,34.02,36.63
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,r1i1p1,rcp26,CESM1-CAM5,2040-2059,23.65,30.18,24.75,17.57,21.98,28.18,19.05,30.75,31.3,28.07,25.1,21.08,18.3,17.1,17.31,19.17,21.36,25.41,28.79
BRISBANE-AERO,40842,-27.39,153.12,r1i1p1,rcp26,CESM1-CAM5,2040-2059,26.49,29.93,27.17,22.34,26.54,29.07,23.91,30.36,29.97,29.36,27.37,24.77,22.4,21.9,22.72,24.95,26.7,27.95,29.43
BROOME-AIRPORT,3003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2040-2059,33.03,34.12,34.19,30.44,33.34,34.45,31.59,34.18,33.94,34.55,35.42,32.58,30.48,30.15,30.68,32.3,33.34,34.37,34.3
BUNDABERG-AERO,39128,-24.91,152.32,r1i1p1,rcp26,CESM1-CAM5,2040-2059,27.8,30.95,28.44,23.87,27.93,30.22,25.36,31.35,30.96,30.45,28.76,26.1,23.77,23.37,24.47,26.38,28.1,29.31,30.55
BURKETOWN-AIRPORT,29077,-17.75,139.54,r1i1p1,rcp26,CESM1-CAM5,2040-2059,34.25,35.63,34.62,30.62,36.16,35.92,32.6,35.35,34.84,35.79,35.25,32.82,29.99,30.11,31.76,34.57,36.33,37.59,36.63
BUTLERS-GORGE,96003,-42.28,146.28,r1i1p1,rcp26,CESM1-CAM5,2040-2059,14.18,19.05,14.76,9.4,13.45,17.7,10.64,19.91,20.24,18.02,14.48,11.78,9.89,8.66,9.64,10.62,13.25,16.48,17.2
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,r1i1p1,rcp26,CESM1-CAM5,2040-2059,12.89,20.37,14.06,5.22,11.84,18.1,7.64,21.01,21.49,18.22,13.81,10.15,5.83,4.79,5.02,8.44,11.61,15.47,18.77
